name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,brand,average_brand_price,predicted_price
Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti,403075.7214052288,514337.42
Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,Skoda,607723.7714285714,418433.3333333334
Honda City 2017-2020 EXi,2006,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0,Honda,596178.0149892934,158133.99999999997
Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,Hyundai,458554.3667844523,243470.0
Maruti Swift VXI BSIII,2007,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,Maruti,403075.7214052288,154650.0
Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,Hyundai,458554.3667844523,462559.95
Maruti Wagon R LXI DUO BSIII,2007,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0,Maruti,403075.7214052288,104860.0
Maruti 800 DX BSII,2001,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,Maruti,403075.7214052288,48430.0
Toyota Etios VXD,2011,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,Toyota,959946.6741803279,312039.99
Ford Figo Diesel Celebration Edition,2013,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,Ford,516682.58186397987,223849.92
Renault Duster 110PS Diesel RxL,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,Renault,462618.38157894736,517489.98
Maruti Zen LX,2005,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,Maruti,403075.7214052288,82990.0
Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,Maruti,403075.7214052288,251350.0
Maruti Wagon R LXI Minor,2009,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,Maruti,403075.7214052288,163355.3333333333
Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0,Mahindra,623224.0556994819,363180.0
Maruti Ertiga SHVS VDI,2016,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,Maruti,403075.7214052288,771225.6666666667
Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,Hyundai,458554.3667844523,430204.95833333326
Maruti Alto LX,2002,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,Maruti,403075.7214052288,82762.8
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,Hyundai,458554.3667844523,685104.7619047619
Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,Mahindra,623224.0556994819,225485.40333333332
Honda WR-V i-DTEC VX,2017,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,Honda,596178.0149892934,900493.3333333335
Maruti Swift Dzire ZDI,2015,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,Maruti,403075.7214052288,546355.5555555555
Maruti SX4 ZDI,2012,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,Maruti,403075.7214052288,502103.33333333326
Tata Tigor 2017-2020 XZ,2018,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,Tata,357433.1076294278,483927.0528571428
Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,Maruti,403075.7214052288,574504.1666666666
Maruti Alto 800 LXI,2017,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti,403075.7214052288,286286.6666666666
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,Chevrolet,273867.47826086957,401163.32333333336
Maruti Wagon R LXI Minor,2009,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,Maruti,403075.7214052288,189209.99
Maruti Omni E MPI STD BS IV,2018,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,Maruti,403075.7214052288,231288.78449999995
Maruti Vitara Brezza LDi Option,2017,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,403075.7214052288,666614.9849999999
Maruti Omni 8 Seater BSIV,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0,Maruti,403075.7214052288,150760.0
Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,Hyundai,458554.3667844523,706130.0
Maruti Vitara Brezza LDi,2017,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,403075.7214052288,712050.0
Maruti Alto 800 CNG LXI Optional,2019,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4.0,Maruti,403075.7214052288,315849.98
Maruti Alto K10 VXI Airbag,2019,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0,Maruti,403075.7214052288,361810.0
Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,Hyundai,458554.3667844523,1154500.0
Datsun GO D,2016,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,Datsun,314599.95384615386,170740.0
Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7.0,Tata,357433.1076294278,384100.0
Maruti 800 Std,2012,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0,Maruti,403075.7214052288,130410.0
Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5.0,Jeep,2149612.870967742,2354500.0
Honda City i VTEC VX,2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0,Honda,596178.0149892934,948000.0
Honda City V MT,2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0,Honda,596178.0149892934,514293.3333333334
Maruti Swift Dzire VXi AT,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0,Maruti,403075.7214052288,689560.0
Maruti Vitara Brezza VDi,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,403075.7214052288,841279.48
Maruti Alto K10 VXI,2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,Maruti,403075.7214052288,413916.65666666673
Toyota Fortuner 4x4 MT,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7.0,Toyota,959946.6741803279,1592700.0
